"dataset","seed","fold","frechet_sparse","frechet_dense","euclid_sparse","euclid_dense","n_sel","p"
"Setting5",1,1,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",1,2,1,0.888888888888889,0.944444444444444,0.833333333333333,2,5
"Setting5",1,3,0.944444444444444,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Setting5",1,4,1,1,0.833333333333333,0.833333333333333,2,5
"Setting5",1,5,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",2,1,1,0.888888888888889,1,0.666666666666667,2,5
"Setting5",2,2,0.944444444444444,0.944444444444444,0.888888888888889,0.722222222222222,2,5
"Setting5",2,3,1,0.944444444444444,1,0.666666666666667,2,5
"Setting5",2,4,1,0.888888888888889,0.944444444444444,0.611111111111111,2,5
"Setting5",2,5,0.944444444444444,1,0.833333333333333,0.555555555555556,2,5
"Setting5",3,1,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",3,2,0.888888888888889,0.944444444444444,0.722222222222222,0.666666666666667,2,5
"Setting5",3,3,1,0.944444444444444,0.944444444444444,0.722222222222222,2,5
"Setting5",3,4,0.944444444444444,0.833333333333333,0.888888888888889,0.555555555555556,2,5
"Setting5",3,5,1,0.888888888888889,0.777777777777778,0.611111111111111,2,5
"Setting5",4,1,1,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Setting5",4,2,1,0.888888888888889,0.777777777777778,0.777777777777778,4,5
"Setting5",4,3,1,1,0.777777777777778,0.777777777777778,3,5
"Setting5",4,4,1,1,0.833333333333333,0.833333333333333,2,5
"Setting5",4,5,1,1,0.888888888888889,0.611111111111111,2,5
"Setting5",5,1,1,1,0.888888888888889,0.777777777777778,2,5
"Setting5",5,2,1,1,0.888888888888889,0.777777777777778,2,5
"Setting5",5,3,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",5,4,1,0.888888888888889,0.888888888888889,0.777777777777778,2,5
"Setting5",5,5,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",6,1,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Setting5",6,2,0.944444444444444,1,0.944444444444444,0.777777777777778,2,5
"Setting5",6,3,1,1,0.833333333333333,0.666666666666667,2,5
"Setting5",6,4,1,1,0.833333333333333,0.722222222222222,2,5
"Setting5",6,5,1,0.944444444444444,1,0.888888888888889,2,5
"Setting5",7,1,1,0.944444444444444,0.888888888888889,0.833333333333333,2,5
"Setting5",7,2,0.944444444444444,0.833333333333333,0.888888888888889,0.888888888888889,2,5
"Setting5",7,3,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",7,4,0.944444444444444,0.944444444444444,0.833333333333333,0.777777777777778,4,5
"Setting5",7,5,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",8,1,1,1,0.944444444444444,0.888888888888889,2,5
"Setting5",8,2,1,1,1,0.611111111111111,2,5
