"dataset","seed","fold","s","n_sel","p","n_info_selected","info_share","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Setting5",2,1,2.23606797749979,5,5,2,0.4,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.02,2,5,2,1,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.14103247394714,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.27642657509994,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.42788644391977,4,5,2,0.5,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.59731843296212,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.78685510121975,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.9988820556175,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,2.23606797749979,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,3,1.02,2,5,2,1,11,2,0.888888888888889,0.888888888888889,0.885714285714286,1,1,1
"Setting5",2,3,1.14103247394714,2,5,2,1,1,8,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,3,1.27642657509994,2,5,2,1,1,8,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",2,3,1.42788644391977,5,5,2,0.4,1,8,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1
"Setting5",2,3,1.59731843296212,5,5,2,0.4,1,8,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1
"Setting5",2,3,1.78685510121975,5,5,2,0.4,1,8,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1
"Setting5",2,3,1.9988820556175,5,5,2,0.4,1,8,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1
"Setting5",2,3,2.23606797749979,5,5,2,0.4,1,8,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1
"Setting5",2,4,1.02,2,5,2,1,1,1,1,1,1,1,1,1
"Setting5",2,4,1.14103247394714,2,5,2,1,1,1,1,1,1,1,1,1
"Setting5",2,4,1.27642657509994,2,5,2,1,1,1,1,1,1,1,1,1
"Setting5",2,4,1.42788644391977,4,5,2,0.5,3,8,1,1,1,1,1,1
"Setting5",2,4,1.59731843296212,5,5,2,0.4,3,2,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,4,1.78685510121975,5,5,2,0.4,3,2,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,4,1.9988820556175,5,5,2,0.4,3,2,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,4,2.23606797749979,5,5,2,0.4,3,2,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,5,1.02,2,5,2,1,1,8,1,1,1,1,1,1
"Setting5",2,5,1.14103247394714,2,5,2,1,1,8,1,1,1,1,1,1
"Setting5",2,5,1.27642657509994,2,5,2,1,1,8,1,1,1,1,1,1
"Setting5",2,5,1.42788644391977,4,5,2,0.5,3,8,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",2,5,1.59731843296212,5,5,2,0.4,3,4,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",2,5,1.78685510121975,5,5,2,0.4,3,4,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",2,5,1.9988820556175,5,5,2,0.4,3,4,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",2,5,2.23606797749979,5,5,2,0.4,3,4,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",3,1,1.02,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",3,1,1.14103247394714,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",3,1,1.27642657509994,2,5,2,1,7,2,1,1,1,1,1,1
"Setting5",3,1,1.42788644391977,4,5,2,0.5,1,8,1,1,1,1,1,1
"Setting5",3,1,1.59731843296212,5,5,2,0.4,1,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",3,1,1.78685510121975,5,5,2,0.4,1,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",3,1,1.9988820556175,5,5,2,0.4,1,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",3,1,2.23606797749979,5,5,2,0.4,1,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",3,2,1.02,2,5,2,1,1,2,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,2,1.14103247394714,2,5,2,1,1,2,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,2,1.27642657509994,2,5,2,1,1,2,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,2,1.42788644391977,5,5,2,0.4,1,4,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,2,1.59731843296212,5,5,2,0.4,1,4,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,0.833333333333333,0.832167832167832
"Setting5",3,2,1.78685510121975,5,5,2,0.4,1,4,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,0.833333333333333,0.832167832167832
"Setting5",3,2,1.9988820556175,5,5,2,0.4,1,4,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,0.833333333333333,0.832167832167832
"Setting5",3,2,2.23606797749979,5,5,2,0.4,1,4,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,0.833333333333333,0.832167832167832
"Setting5",3,3,1.02,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",3,3,1.14103247394714,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",3,3,1.27642657509994,2,5,2,1,5,0.125,1,1,1,1,1,1
"Setting5",3,3,1.42788644391977,5,5,2,0.4,7,0.5,1,1,1,1,1,1
"Setting5",3,3,1.59731843296212,5,5,2,0.4,7,0.125,1,1,1,1,1,1
"Setting5",3,3,1.78685510121975,5,5,2,0.4,7,0.125,1,1,1,1,1,1
"Setting5",3,3,1.9988820556175,5,5,2,0.4,7,0.125,1,1,1,1,1,1
"Setting5",3,3,2.23606797749979,5,5,2,0.4,7,0.125,1,1,1,1,1,1
"Setting5",3,4,1.02,2,5,2,1,3,8,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",3,4,1.14103247394714,2,5,2,1,9,0.125,1,1,1,1,1,1
"Setting5",3,4,1.27642657509994,2,5,2,1,7,0.125,1,1,1,1,1,1
"Setting5",3,4,1.42788644391977,4,5,2,0.5,1,0.125,1,1,1,1,1,1
"Setting5",3,4,1.59731843296212,5,5,2,0.4,1,1,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,4,1.78685510121975,5,5,2,0.4,1,1,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,4,1.9988820556175,5,5,2,0.4,1,1,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,4,2.23606797749979,5,5,2,0.4,1,1,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889
"Setting5",3,5,1.02,2,5,2,1,1,2,1,1,1,1,1,1
"Setting5",3,5,1.14103247394714,2,5,2,1,11,0.125,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",3,5,1.27642657509994,2,5,2,1,11,0.25,1,1,1,1,1,1
"Setting5",3,5,1.42788644391977,4,5,2,0.5,9,0.125,1,1,1,1,1,1
"Setting5",3,5,1.59731843296212,5,5,2,0.4,9,4,1,1,1,1,1,1
"Setting5",3,5,1.78685510121975,5,5,2,0.4,9,4,1,1,1,1,1,1
"Setting5",3,5,1.9988820556175,5,5,2,0.4,9,4,1,1,1,1,1,1
"Setting5",3,5,2.23606797749979,5,5,2,0.4,9,4,1,1,1,1,1,1
"Setting5",4,1,1.02,2,5,2,1,9,0.125,0.888888888888889,0.888888888888889,0.888500388500388,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",4,1,1.14103247394714,2,5,2,1,1,0.125,0.888888888888889,0.888888888888889,0.882051282051282,1,1,1
"Setting5",4,1,1.27642657509994,2,5,2,1,3,0.5,1,1,1,1,1,1
"Setting5",4,1,1.42788644391977,3,5,2,0.666666666666667,1,8,1,1,1,1,1,1
"Setting5",4,1,1.59731843296212,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",4,1,1.78685510121975,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",4,1,1.9988820556175,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",4,1,2.23606797749979,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",4,2,1.02,2,5,2,1,3,0.125,0.666666666666667,0.666666666666667,0.669108669108669,0.777777777777778,0.777777777777778,0.774603174603175
"Setting5",4,2,1.14103247394714,2,5,2,1,1,0.125,0.722222222222222,0.722222222222222,0.715151515151515,1,1,1
"Setting5",4,2,1.27642657509994,2,5,2,1,1,0.125,0.833333333333333,0.833333333333333,0.831168831168831,1,1,1
"Setting5",4,2,1.42788644391977,4,5,2,0.5,1,0.125,1,1,1,1,1,1
"Setting5",4,2,1.59731843296212,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",4,2,1.78685510121975,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",4,2,1.9988820556175,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",4,2,2.23606797749979,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",4,3,1.02,2,5,2,1,5,0.125,0.833333333333333,0.833333333333333,0.822222222222222,1,1,1
"Setting5",4,3,1.14103247394714,2,5,2,1,3,0.125,0.888888888888889,0.888888888888889,0.885714285714286,1,1,1
"Setting5",4,3,1.27642657509994,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",4,3,1.42788644391977,3,5,2,0.666666666666667,1,0.125,1,1,1,1,1,1
"Setting5",4,3,1.59731843296212,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",4,3,1.78685510121975,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",4,3,1.9988820556175,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",4,3,2.23606797749979,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",4,4,1.02,2,5,2,1,5,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",4,4,1.14103247394714,2,5,2,1,3,0.5,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",4,4,1.27642657509994,2,5,2,1,3,0.5,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",4,4,1.42788644391977,3,5,2,0.666666666666667,1,0.25,1,1,1,1,1,1
"Setting5",4,4,1.59731843296212,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,4,1.78685510121975,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,4,1.9988820556175,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,4,2.23606797749979,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,5,1.02,2,5,2,1,1,2,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",4,5,1.14103247394714,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",4,5,1.27642657509994,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",4,5,1.42788644391977,4,5,2,0.5,1,0.125,1,1,1,1,1,1
"Setting5",4,5,1.59731843296212,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,5,1.78685510121975,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,5,1.9988820556175,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",4,5,2.23606797749979,5,5,2,0.4,1,4,1,1,1,1,1,1
"Setting5",5,1,1.02,2,5,2,1,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",5,1,1.14103247394714,2,5,2,1,3,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,1,1.27642657509994,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",5,1,1.42788644391977,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",5,1,1.59731843296212,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",5,1,1.78685510121975,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",5,1,1.9988820556175,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",5,1,2.23606797749979,5,5,2,0.4,1,0.25,1,1,1,1,1,1
"Setting5",5,2,1.02,2,5,2,1,5,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,1.14103247394714,2,5,2,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,1.27642657509994,2,5,2,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,1.42788644391977,4,5,2,0.5,1,1,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,1.59731843296212,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,1.78685510121975,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,1.9988820556175,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,2,2.23606797749979,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,3,1.02,2,5,2,1,3,0.5,1,1,1,1,1,1
"Setting5",5,3,1.14103247394714,2,5,2,1,11,0.5,1,1,1,1,1,1
"Setting5",5,3,1.27642657509994,2,5,2,1,1,0.5,1,1,1,1,1,1
"Setting5",5,3,1.42788644391977,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,3,1.59731843296212,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,3,1.78685510121975,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,3,1.9988820556175,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,3,2.23606797749979,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,4,1.02,2,5,2,1,1,0.5,1,1,1,1,1,1
"Setting5",5,4,1.14103247394714,2,5,2,1,1,0.5,1,1,1,1,1,1
"Setting5",5,4,1.27642657509994,2,5,2,1,3,0.5,1,1,1,1,1,1
"Setting5",5,4,1.42788644391977,4,5,2,0.5,1,0.5,1,1,1,1,1,1
"Setting5",5,4,1.59731843296212,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,4,1.78685510121975,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,4,1.9988820556175,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,4,2.23606797749979,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",5,5,1.02,2,5,2,1,1,0.125,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",5,5,1.14103247394714,2,5,2,1,1,1,1,1,1,1,1,1
"Setting5",5,5,1.27642657509994,2,5,2,1,1,1,1,1,1,1,1,1
"Setting5",5,5,1.42788644391977,4,5,2,0.5,1,1,1,1,1,1,1,1
"Setting5",5,5,1.59731843296212,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",5,5,1.78685510121975,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",5,5,1.9988820556175,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",5,5,2.23606797749979,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",6,1,1.02,2,5,2,1,5,0.5,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",6,1,1.14103247394714,2,5,2,1,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",6,1,1.27642657509994,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",6,1,1.42788644391977,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",6,1,1.59731843296212,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,1,1.78685510121975,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,1,1.9988820556175,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,1,2.23606797749979,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,2,1.02,2,5,2,1,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",6,2,1.14103247394714,2,5,2,1,11,0.5,1,1,1,1,1,1
"Setting5",6,2,1.27642657509994,2,5,2,1,3,2,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",6,2,1.42788644391977,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",6,2,1.59731843296212,5,5,2,0.4,1,0.5,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,2,1.78685510121975,5,5,2,0.4,1,0.5,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,2,1.9988820556175,5,5,2,0.4,1,0.5,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,2,2.23606797749979,5,5,2,0.4,1,0.5,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,3,1.02,2,5,2,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",6,3,1.14103247394714,2,5,2,1,1,0.5,1,1,1,1,1,1
"Setting5",6,3,1.27642657509994,2,5,2,1,5,0.125,1,1,1,1,1,1
"Setting5",6,3,1.42788644391977,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",6,3,1.59731843296212,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,3,1.78685510121975,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,3,1.9988820556175,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,3,2.23606797749979,5,5,2,0.4,1,2,1,1,1,1,1,1
"Setting5",6,4,1.02,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",6,4,1.14103247394714,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",6,4,1.27642657509994,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",6,4,1.42788644391977,5,5,2,0.4,1,0.125,1,1,1,1,1,1
"Setting5",6,4,1.59731843296212,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",6,4,1.78685510121975,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",6,4,1.9988820556175,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",6,4,2.23606797749979,5,5,2,0.4,1,0.5,1,1,1,1,1,1
"Setting5",6,5,1.02,2,5,2,1,7,0.25,1,1,1,1,1,1
"Setting5",6,5,1.14103247394714,2,5,2,1,9,0.125,1,1,1,1,1,1
"Setting5",6,5,1.27642657509994,2,5,2,1,1,2,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,5,1.42788644391977,5,5,2,0.4,1,2,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,5,1.59731843296212,5,5,2,0.4,1,2,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,5,1.78685510121975,5,5,2,0.4,1,2,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,5,1.9988820556175,5,5,2,0.4,1,2,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",6,5,2.23606797749979,5,5,2,0.4,1,2,1,1,1,0.888888888888889,0.888888888888889,0.885714285714286
"Setting5",7,1,1.02,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",7,1,1.14103247394714,2,5,2,1,3,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,1,1.27642657509994,2,5,2,1,3,0.5,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,1,1.42788644391977,4,5,2,0.5,1,1,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,1,1.59731843296212,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,1,1.78685510121975,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,1,1.9988820556175,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,1,2.23606797749979,5,5,2,0.4,1,0.25,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,2,1.02,2,5,2,1,5,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",7,2,1.14103247394714,2,5,2,1,3,2,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
