"dataset","method","seed","fold","variable","w","informative"
"Epilepsy","DTW + kFDA",1,1,"V01",1,NA
"Epilepsy","DTW + kFDA",1,1,"V02",1,NA
"Epilepsy","DTW + kFDA",1,1,"V03",1,NA
"Epilepsy","Euclid + kFDA",1,1,"V01",1,NA
"Epilepsy","Euclid + kFDA",1,1,"V02",1,NA
"Epilepsy","Euclid + kFDA",1,1,"V03",1,NA
"Epilepsy","SFKmL-C + kFDA",1,1,"V01",0.51455141907373,NA
"Epilepsy","SFKmL-C + kFDA",1,1,"V02",0.818574280790432,NA
"Epilepsy","SFKmL-C + kFDA",1,1,"V03",0.255289999721174,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,2,"V01",0.49248388573381,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,2,"V02",0.717166964062357,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,2,"V03",0.493083327592923,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,2,"V01",0.00872920162219663,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,2,"V02",0.999897216049763,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,2,"V03",0.0113735823280409,NA
"Epilepsy","1NN-Euclid",1,2,"V01",1,NA
"Epilepsy","1NN-Euclid",1,2,"V02",1,NA
"Epilepsy","1NN-Euclid",1,2,"V03",1,NA
"Epilepsy","1NN-DTW",1,2,"V01",1,NA
"Epilepsy","1NN-DTW",1,2,"V02",1,NA
"Epilepsy","1NN-DTW",1,2,"V03",1,NA
"Epilepsy","DistSpace-Frechet",1,2,"V01",0.224639179087433,NA
"Epilepsy","DistSpace-Frechet",1,2,"V02",0.947736259070116,NA
"Epilepsy","DistSpace-Frechet",1,2,"V03",0.226568361566009,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,2,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,2,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,2,"V03",1,NA
"Epilepsy","MFKmL-C + medoid",1,2,"V01",1,NA
"Epilepsy","MFKmL-C + medoid",1,2,"V02",1,NA
"Epilepsy","MFKmL-C + medoid",1,2,"V03",1,NA
"Epilepsy","DTW + medoid",1,2,"V01",1,NA
"Epilepsy","DTW + medoid",1,2,"V02",1,NA
"Epilepsy","DTW + medoid",1,2,"V03",1,NA
"Epilepsy","Euclid + medoid",1,2,"V01",1,NA
"Epilepsy","Euclid + medoid",1,2,"V02",1,NA
"Epilepsy","Euclid + medoid",1,2,"V03",1,NA
"Epilepsy","SFKmL-C + medoid",1,2,"V01",0.224639179087433,NA
"Epilepsy","SFKmL-C + medoid",1,2,"V02",0.947736259070116,NA
"Epilepsy","SFKmL-C + medoid",1,2,"V03",0.226568361566009,NA
"Epilepsy","SFKmL-C(dense) + mean",1,2,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,2,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,2,"V03",1,NA
"Epilepsy","MFKmL-C + mean",1,2,"V01",1,NA
"Epilepsy","MFKmL-C + mean",1,2,"V02",1,NA
"Epilepsy","MFKmL-C + mean",1,2,"V03",1,NA
"Epilepsy","DTW + DBA",1,2,"V01",1,NA
"Epilepsy","DTW + DBA",1,2,"V02",1,NA
"Epilepsy","DTW + DBA",1,2,"V03",1,NA
"Epilepsy","Euclid + centroid",1,2,"V01",1,NA
"Epilepsy","Euclid + centroid",1,2,"V02",1,NA
"Epilepsy","Euclid + centroid",1,2,"V03",1,NA
"Epilepsy","SFKmL-C + mean",1,2,"V01",0.224639179087433,NA
"Epilepsy","SFKmL-C + mean",1,2,"V02",0.947736259070116,NA
"Epilepsy","SFKmL-C + mean",1,2,"V03",0.226568361566009,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,2,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,2,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,2,"V03",1,NA
"Epilepsy","MFKmL-C + kNN",1,2,"V01",1,NA
"Epilepsy","MFKmL-C + kNN",1,2,"V02",1,NA
"Epilepsy","MFKmL-C + kNN",1,2,"V03",1,NA
"Epilepsy","DTW + kNN",1,2,"V01",1,NA
"Epilepsy","DTW + kNN",1,2,"V02",1,NA
"Epilepsy","DTW + kNN",1,2,"V03",1,NA
"Epilepsy","Euclid + kNN",1,2,"V01",1,NA
"Epilepsy","Euclid + kNN",1,2,"V02",1,NA
"Epilepsy","Euclid + kNN",1,2,"V03",1,NA
"Epilepsy","SFKmL-C + kNN",1,2,"V01",0.224639179087433,NA
"Epilepsy","SFKmL-C + kNN",1,2,"V02",0.947736259070116,NA
"Epilepsy","SFKmL-C + kNN",1,2,"V03",0.226568361566009,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,2,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,2,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,2,"V03",1,NA
"Epilepsy","MFKmL-C + SVM",1,2,"V01",1,NA
"Epilepsy","MFKmL-C + SVM",1,2,"V02",1,NA
"Epilepsy","MFKmL-C + SVM",1,2,"V03",1,NA
"Epilepsy","DTW + SVM",1,2,"V01",1,NA
"Epilepsy","DTW + SVM",1,2,"V02",1,NA
"Epilepsy","DTW + SVM",1,2,"V03",1,NA
"Epilepsy","Euclid + SVM",1,2,"V01",1,NA
"Epilepsy","Euclid + SVM",1,2,"V02",1,NA
"Epilepsy","Euclid + SVM",1,2,"V03",1,NA
"Epilepsy","SFKmL-C + SVM",1,2,"V01",0.224639179087433,NA
"Epilepsy","SFKmL-C + SVM",1,2,"V02",0.947736259070116,NA
"Epilepsy","SFKmL-C + SVM",1,2,"V03",0.226568361566009,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,2,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,2,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,2,"V03",1,NA
"Epilepsy","MFKmL-C + kFDA",1,2,"V01",1,NA
"Epilepsy","MFKmL-C + kFDA",1,2,"V02",1,NA
"Epilepsy","MFKmL-C + kFDA",1,2,"V03",1,NA
"Epilepsy","DTW + kFDA",1,2,"V01",1,NA
"Epilepsy","DTW + kFDA",1,2,"V02",1,NA
"Epilepsy","DTW + kFDA",1,2,"V03",1,NA
"Epilepsy","Euclid + kFDA",1,2,"V01",1,NA
"Epilepsy","Euclid + kFDA",1,2,"V02",1,NA
"Epilepsy","Euclid + kFDA",1,2,"V03",1,NA
"Epilepsy","SFKmL-C + kFDA",1,2,"V01",0.224639179087433,NA
"Epilepsy","SFKmL-C + kFDA",1,2,"V02",0.947736259070116,NA
"Epilepsy","SFKmL-C + kFDA",1,2,"V03",0.226568361566009,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,3,"V01",0.0202041241496618,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,3,"V02",0.999795875850338,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,3,"V01",0.0202041241496618,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,3,"V02",0.999795875850338,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,3,"V03",0,NA
"Epilepsy","1NN-Euclid",1,3,"V01",1,NA
"Epilepsy","1NN-Euclid",1,3,"V02",1,NA
"Epilepsy","1NN-Euclid",1,3,"V03",1,NA
"Epilepsy","1NN-DTW",1,3,"V01",1,NA
"Epilepsy","1NN-DTW",1,3,"V02",1,NA
"Epilepsy","1NN-DTW",1,3,"V03",1,NA
"Epilepsy","DistSpace-Frechet",1,3,"V01",0.327925673478725,NA
"Epilepsy","DistSpace-Frechet",1,3,"V02",0.94470352633698,NA
"Epilepsy","DistSpace-Frechet",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,3,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,3,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,3,"V03",1,NA
"Epilepsy","MFKmL-C + medoid",1,3,"V01",1,NA
"Epilepsy","MFKmL-C + medoid",1,3,"V02",1,NA
"Epilepsy","MFKmL-C + medoid",1,3,"V03",1,NA
"Epilepsy","DTW + medoid",1,3,"V01",1,NA
"Epilepsy","DTW + medoid",1,3,"V02",1,NA
"Epilepsy","DTW + medoid",1,3,"V03",1,NA
"Epilepsy","Euclid + medoid",1,3,"V01",1,NA
"Epilepsy","Euclid + medoid",1,3,"V02",1,NA
"Epilepsy","Euclid + medoid",1,3,"V03",1,NA
"Epilepsy","SFKmL-C + medoid",1,3,"V01",0.327925673478725,NA
"Epilepsy","SFKmL-C + medoid",1,3,"V02",0.94470352633698,NA
"Epilepsy","SFKmL-C + medoid",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(dense) + mean",1,3,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,3,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,3,"V03",1,NA
"Epilepsy","MFKmL-C + mean",1,3,"V01",1,NA
"Epilepsy","MFKmL-C + mean",1,3,"V02",1,NA
"Epilepsy","MFKmL-C + mean",1,3,"V03",1,NA
"Epilepsy","DTW + DBA",1,3,"V01",1,NA
"Epilepsy","DTW + DBA",1,3,"V02",1,NA
"Epilepsy","DTW + DBA",1,3,"V03",1,NA
"Epilepsy","Euclid + centroid",1,3,"V01",1,NA
"Epilepsy","Euclid + centroid",1,3,"V02",1,NA
"Epilepsy","Euclid + centroid",1,3,"V03",1,NA
"Epilepsy","SFKmL-C + mean",1,3,"V01",0.327925673478725,NA
"Epilepsy","SFKmL-C + mean",1,3,"V02",0.94470352633698,NA
"Epilepsy","SFKmL-C + mean",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,3,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,3,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,3,"V03",1,NA
"Epilepsy","MFKmL-C + kNN",1,3,"V01",1,NA
"Epilepsy","MFKmL-C + kNN",1,3,"V02",1,NA
"Epilepsy","MFKmL-C + kNN",1,3,"V03",1,NA
"Epilepsy","DTW + kNN",1,3,"V01",1,NA
"Epilepsy","DTW + kNN",1,3,"V02",1,NA
