"method_a","method_b","n_pairs","mean_a","mean_b","diff","sd","t","wins","ties","p_wilcox"
"SFKmL-C(dense) + kNN","SFKmL-C + kNN",100,0.875812271062271,0.889120421245421,-0.0133081501831502,0.0355399168142557,-3.7445642466479,31,4,0.000281913876513086
"SFKmL-C + kNN","MFKmL-C + kNN",100,0.889120421245421,0.791245879120879,0.0978745421245421,0.0557503847465008,17.5558505236478,98,0,5.0324225545182e-18
"SFKmL-C + kNN","Euclid + kNN",100,0.889120421245421,0.678860805860806,0.210259615384615,0.0670961119658903,31.3370788893856,100,0,3.9550194074242e-18
"SFKmL-C + kNN","1NN-DTW",100,0.889120421245421,0.974128205128205,-0.0850077838827838,0.0386714601512388,-21.9820465920681,3,0,5.41573708439831e-18
"SFKmL-C + kNN","DTW + kNN",100,0.889120421245421,0.973949633699634,-0.0848292124542124,0.0390187872568907,-21.7406071325888,3,0,5.66587724255276e-18
"SFKmL-C + kFDA","DTW + kFDA",100,0.88996336996337,0.98839010989011,-0.0984267399267399,0.0452499068941329,-21.7518104859353,1,0,4.06927192835139e-18
