"dataset","seed","fold","distance","gamma_mult","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"japanese_vowels",1,1,"SFCL",0.125,0.969230769230769,0.968915343915344,0.96932384064737,0.968915343915344,0.96836407123991,0.969230769230769,0.965114718905139,NA,1.57306807714852,0.704277329159564
"japanese_vowels",1,1,"SFCL",0.25,0.969230769230769,0.968915343915344,0.96932384064737,0.968915343915344,0.96836407123991,0.969230769230769,0.965114718905139,NA,1.57697736609172,0.705717808677137
"japanese_vowels",1,1,"SFCL",0.5,0.961538461538462,0.959656084656085,0.963514109347443,0.959656084656085,0.959925034667881,0.961538461538462,0.956381693732385,NA,1.58880045881431,0.710132185785823
"japanese_vowels",1,1,"SFCL",1,0.992307692307692,0.990740740740741,0.992063492063492,0.990740740740741,0.991053855788155,0.992307692307692,0.991274582186724,NA,1.60453972206496,0.716154078234565
"japanese_vowels",1,1,"SFCL",2,0.984615384615385,0.986111111111111,0.985527544351074,0.986111111111111,0.985322786227299,0.984615384615385,0.982558529549876,NA,1.57293128570238,0.704882091271228
"japanese_vowels",1,1,"SFCL",4,0.953846153846154,0.950925925925926,0.961904761904762,0.950925925925926,0.952524450746971,0.953846153846154,0.947640464523058,NA,1.54463240172131,0.693643222355971
"japanese_vowels",1,1,"SFCL",8,0.976923076923077,0.972934472934473,0.982456140350877,0.972934472934473,0.975930735930736,0.976923076923077,0.97380616562563,NA,1.49972532813,0.676224461084467
"japanese_vowels",1,1,"MFCL",0.125,0.923076923076923,0.923860398860399,0.937220187220187,0.923860398860399,0.920904861304135,0.923076923076923,0.912845266827568,NA,1.65501199016916,0.733785133214173
"japanese_vowels",1,1,"MFCL",0.25,0.923076923076923,0.92457264957265,0.936648536648537,0.92457264957265,0.923625213933744,0.923076923076923,0.912827734191645,NA,1.65295632108773,0.73291862788561
"japanese_vowels",1,1,"MFCL",0.5,0.923076923076923,0.929202279202279,0.933516483516484,0.929202279202279,0.925633838047631,0.923076923076923,0.912915326902465,NA,1.64670079226365,0.730413339104391
"japanese_vowels",1,1,"MFCL",1,0.930769230769231,0.933831908831909,0.94039479039479,0.933831908831909,0.932148722340293,0.930769230769231,0.921565998525173,NA,1.63690970675491,0.726639374214509
"japanese_vowels",1,1,"MFCL",2,0.938461538461538,0.938644688644689,0.938113908508645,0.938644688644689,0.936282345258502,0.938461538461538,0.930257510729614,NA,1.64479757928811,0.729669147359376
"japanese_vowels",1,1,"MFCL",4,0.9,0.901424501424501,0.901342502813091,0.901424501424501,0.900158781655533,0.9,0.886569568427411,NA,1.643847514043,0.729372568196936
"japanese_vowels",1,1,"MFCL",8,0.953846153846154,0.947008547008547,0.959318952652286,0.947008547008547,0.948649186235715,0.953846153846154,0.94758064516129,NA,1.59822293331819,0.713191990634604
"japanese_vowels",1,2,"SFCL",0.125,0.976744186046512,0.973646723646724,0.982075163398693,0.973646723646724,0.976691016412515,0.976744186046512,0.973581814458325,NA,1.55673528377206,0.699484402004167
"japanese_vowels",1,2,"SFCL",0.25,0.976744186046512,0.973646723646724,0.982075163398693,0.973646723646724,0.976691016412515,0.976744186046512,0.973581814458325,NA,1.55584127854028,0.699030827971107
"japanese_vowels",1,2,"SFCL",0.5,0.976744186046512,0.973646723646724,0.982075163398693,0.973646723646724,0.976691016412515,0.976744186046512,0.973581814458325,NA,1.56594846213642,0.70259217795787
"japanese_vowels",1,2,"SFCL",1,0.968992248062015,0.969017094017094,0.972630718954248,0.969017094017094,0.970254886404956,0.968992248062015,0.964802182810368,NA,1.59131445439628,0.711958645995698
"japanese_vowels",1,2,"SFCL",2,0.976744186046512,0.972934472934473,0.977972599296129,0.972934472934473,0.974498042604634,0.976744186046512,0.973601637107776,NA,1.57828529248904,0.707075144252999
"japanese_vowels",1,2,"SFCL",4,0.992248062015504,0.990740740740741,0.993464052287582,0.990740740740741,0.9918020787586,0.992248062015504,0.991201746010094,NA,1.54567047231626,0.695053054091415
"japanese_vowels",1,2,"SFCL",8,0.961240310077519,0.955128205128205,0.973909131803869,0.955128205128205,0.961840558797081,0.961240310077519,0.955918534718425,NA,1.51786209226675,0.683110449079098
"japanese_vowels",1,2,"MFCL",0.125,0.937984496124031,0.936146723646724,0.941228123728124,0.936146723646724,0.93639269460698,0.937984496124031,0.929585152838428,NA,1.65479497780178,0.735154536053637
"japanese_vowels",1,2,"MFCL",0.25,0.945736434108527,0.943554131054131,0.948635531135531,0.943554131054131,0.94357608767747,0.945736434108527,0.938391212389984,NA,1.65800202565141,0.736307866996446
"japanese_vowels",1,2,"MFCL",0.5,0.945736434108527,0.943554131054131,0.948635531135531,0.943554131054131,0.94357608767747,0.945736434108527,0.938391212389984,NA,1.66434301317365,0.73849865691203
"japanese_vowels",1,2,"MFCL",1,0.961240310077519,0.96207264957265,0.969373219373219,0.96207264957265,0.964918186068256,0.961240310077519,0.95596367856899,NA,1.65771890011946,0.736059798143262
"japanese_vowels",1,2,"MFCL",2,0.930232558139535,0.931054131054131,0.941252204585538,0.931054131054131,0.934253274822836,0.930232558139535,0.920756262371169,NA,1.65080631891034,0.733186207212686
"japanese_vowels",1,2,"MFCL",4,0.984496124031008,0.988425925925926,0.984508547008547,0.988425925925926,0.98602303058034,0.984496124031008,0.982423870835888,NA,1.62405723962946,0.723650050382565
"japanese_vowels",1,2,"MFCL",8,0.968992248062015,0.974537037037037,0.972946859903382,0.974537037037037,0.972146975141017,0.968992248062015,0.964854924397221,NA,1.60052944038288,0.714136458858708
"japanese_vowels",1,3,"SFCL",0.125,0.961240310077519,0.961691086691087,0.969017094017094,0.961691086691087,0.964230769230769,0.961240310077519,0.95596367856899,NA,1.56328971484669,0.701322829902721
