"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error"
"japanese_vowels","SFKmL-C(gap) + medoid","proposed",FALSE,1,1,0.476923076923077,0.476623839123839,0.475457567124234,0.476623839123839,0.464341111563334,0.476923076923077,0.409564520438151,NA,1.74078612224778,0.774404727023891,NA,NA,1.02,2,1.42857142857143,3.85244989395142,TRUE,""
"japanese_vowels","SFKmL-C(gaplab) + medoid","proposed",FALSE,1,1,0.476923076923077,0.476623839123839,0.475457567124234,0.476623839123839,0.464341111563334,0.476923076923077,0.409564520438151,NA,1.74078612224778,0.774404727023891,NA,NA,1.02,2,1.42857142857143,0.31287407875061,TRUE,""
"japanese_vowels","1NN-DTW","distance",FALSE,1,1,0.969230769230769,0.966239316239316,0.974519632414369,0.966239316239316,0.968439369380565,0.969230769230769,0.965081923180231,NA,1.06273158138187,0.0615384615384615,1,NA,NA,12,1.42857142857143,0.00378608703613281,TRUE,""
"japanese_vowels","1NN-DDTW","distance",FALSE,1,1,0.676923076923077,0.665557590557591,0.69863315696649,0.665557590557591,0.627278858196733,0.676923076923077,0.632125050532273,NA,2.04412691804389,0.852349816392764,1,NA,NA,NA,1.42857142857143,0.0651359558105469,TRUE,""
"japanese_vowels","NC-DBA","distance",FALSE,1,1,0.969230769230769,0.969627594627595,0.969017094017094,0.969627594627595,0.96900443178221,0.969230769230769,0.965105354985908,NA,1.71451572877174,0.756891734210441,NA,NA,NA,NA,1.42857142857143,0.398084163665771,TRUE,""
"japanese_vowels","DistSpace-Frechet","depth",FALSE,1,1,0.946153846153846,0.94284188034188,0.946913580246914,0.94284188034188,0.942235996053268,0.946153846153846,0.938934371225339,NA,0.870492628531956,0.0837606837606838,3,NA,NA,11,1.42857142857143,0.60330605506897,TRUE,""
"japanese_vowels","SFKmL-C(dense) + medoid","proposed",FALSE,1,1,0.9,0.893950956450956,0.91033781033781,0.893950956450956,0.894359805088879,0.9,0.886561954624782,NA,1.83608917977113,0.795137210517735,NA,1,3.46410161513775,12,1.42857142857143,0.0452229976654053,TRUE,""
"japanese_vowels","MFKmL-C + medoid","proposed",FALSE,1,1,0.861538461538462,0.856272893772894,0.881823731823732,0.856272893772894,0.858178535383367,0.861538461538462,0.842900302114804,NA,1.84595798124826,0.797219089348006,NA,1,3.46410161513775,12,1.42857142857143,0.00146007537841797,TRUE,""
"japanese_vowels","DTW + medoid","distance",FALSE,1,1,0.915384615384615,0.905774318274318,0.93648473034438,0.905774318274318,0.910827906794005,0.915384615384615,0.903768506056528,NA,1.77083962111948,0.775076578224284,NA,1,3.46410161513775,12,1.42857142857143,0.0012211799621582,TRUE,""
"japanese_vowels","SFKmL-C + medoid","proposed",FALSE,1,1,0.907692307692308,0.901572039072039,0.919032356532356,0.901572039072039,0.896654049222729,0.907692307692308,0.895330112721417,NA,1.80015888503268,0.784315852992359,NA,1,2.772334981081,11,1.42857142857143,0.54494309425354,TRUE,""
