"dataset","seed","fold","n_var","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"japanese_vowels",1,1,1,7,0.461538461538462,0.4496151996152,0.445723258223258,0.4496151996152,0.4455186664453,0.461538461538462,0.390162176651923,NA,5.06588938982055,0.651805337519623
"japanese_vowels",1,1,2,9,0.769230769230769,0.768940781440781,0.772405191032642,0.768940781440781,0.755213499464707,0.769230769230769,0.738728478595833,NA,2.35293648396133,0.378917378917379
"japanese_vowels",1,1,3,7,0.892307692307692,0.885190272690273,0.884890572390572,0.885190272690273,0.882527102850691,0.892307692307692,0.877909706849131,NA,0.502404667128272,0.145682888540031
"japanese_vowels",1,1,4,7,0.892307692307692,0.884661172161172,0.903998778998779,0.884661172161172,0.886338696748492,0.892307692307692,0.877614148342411,NA,0.478825721349795,0.138775510204082
"japanese_vowels",1,1,5,5,0.923076923076923,0.913181725681726,0.933160893687209,0.913181725681726,0.917020304798083,0.923076923076923,0.912575655682582,NA,0.165399541207854,0.0996923076923077
"japanese_vowels",1,1,6,5,0.961538461538462,0.954415954415954,0.957502374169041,0.954415954415954,0.95328921906927,0.961538461538462,0.956358265073184,NA,0.363935953967847,0.0707692307692308
"japanese_vowels",1,1,7,5,0.961538461538462,0.954415954415954,0.961563452791523,0.954415954415954,0.955474155474155,0.961538461538462,0.956340677055347,NA,0.857759977440001,0.0744615384615385
"japanese_vowels",1,1,8,1,0.961538461538462,0.954415954415954,0.96536212325686,0.954415954415954,0.955262515262515,0.961538461538462,0.956340677055347,NA,1.32841447672733,0.0769230769230769
"japanese_vowels",1,1,9,3,0.953846153846154,0.945868945868946,0.948243114909782,0.945868945868946,0.944400330180381,0.953846153846154,0.947629918087821,NA,0.837996089163671,0.0717948717948718
"japanese_vowels",1,1,10,3,0.961538461538462,0.954415954415954,0.961301044634378,0.954415954415954,0.95341945919951,0.961538461538462,0.95635533472101,NA,0.832664187774748,0.0632478632478632
"japanese_vowels",1,1,11,3,0.961538461538462,0.954415954415954,0.961301044634378,0.954415954415954,0.95341945919951,0.961538461538462,0.95635533472101,NA,0.832664187774748,0.0632478632478632
"japanese_vowels",1,1,12,1,0.961538461538462,0.954415954415954,0.964649872544609,0.954415954415954,0.954876041832564,0.961538461538462,0.956343609376049,NA,1.32841447672733,0.0769230769230769
"japanese_vowels",1,2,1,7,0.527131782945736,0.518328430828431,0.505013096924862,0.518328430828431,0.499329573629091,0.527131782945736,0.463233287858117,NA,4.39218203086446,0.659705742762221
"japanese_vowels",1,2,2,9,0.790697674418605,0.783847171347171,0.781953231953232,0.783847171347171,0.771683408205147,0.790697674418605,0.762625230014312,NA,1.80493939904438,0.327495454110441
"japanese_vowels",1,2,3,7,0.829457364341085,0.812932437932438,0.807423788228742,0.812932437932438,0.800187576702922,0.829457364341085,0.806279863481229,NA,1.13932611781441,0.238886252175289
"japanese_vowels",1,2,4,9,0.937984496124031,0.928673178673179,0.94787037037037,0.928673178673179,0.934036497912586,0.937984496124031,0.92950338137851,NA,0.440428297482068,0.101636520241171
"japanese_vowels",1,2,5,3,0.968992248062015,0.964997964997965,0.966702279202279,0.964997964997965,0.965263507234833,0.968992248062015,0.964816582571935,NA,0.341755728056844,0.0585701981050818
"japanese_vowels",1,2,6,3,0.984496124031008,0.982193732193732,0.987008547008547,0.982193732193732,0.98401261954057,0.984496124031008,0.982395087001024,NA,0.295117669242076,0.0275624461670973
"japanese_vowels",1,2,7,5,0.968992248062015,0.964387464387464,0.973950617283951,0.964387464387464,0.967762135157093,0.968992248062015,0.964770942855192,NA,0.0698821449438254,0.0390697674418605
"japanese_vowels",1,2,8,1,0.984496124031008,0.982193732193732,0.989019607843137,0.982193732193732,0.985090060618011,0.984496124031008,0.982390280526926,NA,0.535484905347452,0.0310077519379845
"japanese_vowels",1,2,9,1,0.976744186046512,0.972934472934473,0.98320987654321,0.972934472934473,0.9770901983982,0.976744186046512,0.973578207141394,NA,0.803227358021179,0.0465116279069767
"japanese_vowels",1,2,10,1,0.945736434108527,0.941239316239316,0.959656084656085,0.941239316239316,0.94631808827461,0.945736434108527,0.938349149996586,NA,1.87419716871608,0.108527131782946
"japanese_vowels",1,2,11,1,0.961240310077519,0.959045584045584,0.969279502174239,0.959045584045584,0.962367624324146,0.961240310077519,0.955984714071243,NA,1.33871226336863,0.0775193798449612
"japanese_vowels",1,2,12,1,0.984496124031008,0.986111111111111,0.985527544351074,0.986111111111111,0.985322786227299,0.984496124031008,0.982416683704764,NA,0.535484905347452,0.0310077519379845
