"dataset","method","contrast","diff","n","t","wins"
"Setting6_async","MFKmL-C + kFDA","align - rule",0.00166666666666664,100,0.830760293105696,8
"Setting6_async","MFKmL-C + medoid","cv - rule",-0.00166666666666665,100,-0.344880749357703,11
"Setting6_async","MFKmL-C + medoid","align - rule",-0.0011111111111111,100,-1.42141062443803,0
"Shape_async","SFKmL-C + kNN","cv - rule",0.00944444444444445,100,1.34519997119182,32
"Shape_async","SFKmL-C + kNN","align - rule",0.00722222222222223,100,1.53174239011803,19
"Shape_async","SFKmL-C + kFDA","cv - rule",0.0116666666666667,100,1.19332269241824,33
"Shape_async","SFKmL-C + kFDA","align - rule",0.0011111111111111,100,0.177309198636856,25
"Shape_async","SFKmL-C + medoid","cv - rule",0.0227777777777778,100,2.77449312663022,41
"Shape_async","SFKmL-C + medoid","align - rule",0.00833333333333336,100,1.80000000000001,20
"Shape_async","MFKmL-C + kNN","cv - rule",0.0322222222222222,100,2.96683219015316,47
"Shape_async","MFKmL-C + kNN","align - rule",0.00166666666666665,100,0.244611527821865,24
"Shape_async","MFKmL-C + kFDA","cv - rule",0.00611111111111113,100,0.50071632900006,37
"Shape_async","MFKmL-C + kFDA","align - rule",-0.000555555555555569,100,-0.11195191849491,27
"Shape_async","MFKmL-C + medoid","cv - rule",0.0288888888888889,100,2.29791570796565,42
"Shape_async","MFKmL-C + medoid","align - rule",-0.00111111111111113,100,-0.256990329298408,10
