"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"MFKmL-C + SVM",0.71,0.5575,0.719869578232406,0.998333333333333,0.398333333333333,0.6675,0.905833333333333,0.93,0.569166666666667,0.919166666666667,0.893333333333333,0.910833333333333,0.540833333333333,0.740833333333333,0.2275,0.803333333333333,0.199166666666667,0.969166666666667,0.134166666666667,0.571666666666667,0.628333333333333,0.436666666666667,0.160833333333333,0.634450851227496
"MFKmL-C + kNN",0.488333333333333,0.365,0.567925025535915,1,0.4625,0.665,0.9625,0.941666666666667,0.570833333333333,0.925833333333333,0.8875,0.8025,0.73,0.591666666666667,0.181666666666667,0.55,0.191666666666667,0.970833333333333,0.158333333333333,0.605,0.695,0.535,0.146666666666667,0.608496740240692
"Euclid + centroid",0.688333333333333,0.684166666666667,0.613352161289417,0.873333333333333,0.136666666666667,0.999166666666667,0.910833333333333,0.58,0.599166666666667,0.518333333333333,0.575833333333333,0.705,0.205833333333333,0.585833333333333,0.590833333333333,0.695,0.708333333333333,0.694166666666667,0.651666666666667,0.678333333333333,0.00666666666666663,-0.0183333333333333,0.428333333333333,0.570037050490844
"KmL3d-C (NC-Euclid)",0.688333333333333,0.684166666666667,0.613352161289417,0.873333333333333,0.136666666666667,0.999166666666667,0.910833333333333,0.58,0.599166666666667,0.518333333333333,0.575833333333333,0.705,0.205833333333333,0.585833333333333,0.590833333333333,0.695,0.708333333333333,0.694166666666667,0.651666666666667,0.678333333333333,0.00666666666666663,-0.0183333333333333,0.428333333333333,0.570037050490844
"MFKmL-C + mean",0.615833333333333,0.4975,0.633525682399373,0.975,0.3,0.373333333333333,0.873333333333333,0.7775,0.518333333333333,0.7575,0.756666666666667,0.851666666666667,0.329166666666667,0.69,0.235833333333333,0.703333333333333,0.205833333333333,0.8625,0.163333333333333,0.465833333333333,0.388333333333333,0.338333333333333,0.171666666666667,0.542798218075335
"MFKmL-C + kFDA",0.349166666666667,0.3,0.593697899916448,0.893333333333333,0.194166666666667,0.359166666666667,0.896666666666667,0.953333333333333,0.540833333333333,0.936666666666667,0.891666666666667,0.906666666666667,0.766666666666667,0.655,0.125833333333333,0.504166666666667,0.21,0.950833333333333,0.0816666666666667,0.325833333333333,0.581666666666667,0.115,0.0733333333333334,0.530668024634048
"Subspace",0.4825,0.376666666666667,0.123210185178531,0.981666666666667,0.588333333333333,0.965,0.864166666666667,0.325,0.301666666666667,0.334166666666667,0.285833333333333,0.59,0.425833333333333,0.318333333333333,0.308333333333333,0.478333333333333,0.421666666666667,0.7725,0.295833333333333,0.398333333333333,0.863333333333333,0.47,0.176666666666667,0.484668558775878
"DTW + medoid",0.455,0.368333333333333,0.531550227805551,1,0.335,0.6875,0.958333333333333,0.63,0.493333333333333,0.556666666666667,0.624166666666667,0.5825,0.358333333333333,0.495,0.0908333333333334,0.509166666666667,0.100833333333333,0.84,0.0508333333333334,0.629166666666667,0.198333333333333,0.193333333333333,0.14,0.470792038890096
"1NN-DDTW",0.285833333333333,0.175,0.278369154065237,0.925,0.3275,0.641666666666667,0.8275,0.7875,0.359166666666667,0.790833333333333,0.708333333333333,0.65,0.359166666666667,0.334166666666667,0.118333333333333,0.394166666666667,0.0666666666666667,0.981666666666667,0.0683333333333334,0.365,0.678333333333333,0.37,0.0533333333333334,0.458516050176749
"DD-classifier",0.4775,0.4125,0.428678882898757,0.808333333333333,0.0575,0.725833333333333,0.963333333333333,0.486666666666667,0.505833333333333,0.36,0.478333333333333,0.544166666666667,0.265833333333333,0.453333333333333,0.46,0.521666666666667,0.534166666666667,0.5625,0.511666666666667,0.554166666666667,-0.0316666666666667,-0.005,0.371666666666667,0.454217922444873
"Euclid + medoid",0.463333333333333,0.370833333333333,0.460016747019247,0.86,0.0925,0.921666666666667,0.731666666666667,0.421666666666667,0.490833333333333,0.374166666666667,0.421666666666667,0.499166666666667,0.126666666666667,0.38,0.394166666666667,0.481666666666667,0.463333333333333,0.629166666666667,0.53,0.525833333333333,-4.05087638780111e-17,-0.055,0.264166666666667,0.428152902044315
"MFKmL-C + medoid",0.34,0.234166666666667,0.508514553239858,0.958333333333333,0.195833333333333,0.3325,0.868333333333333,0.6325,0.436666666666667,0.6625,0.605833333333333,0.5225,0.25,0.4275,0.121666666666667,0.411666666666667,0.095,0.8525,0.1125,0.393333333333333,0.313333333333333,0.161666666666667,0.1125,0.415189038546661
"DTW + DBA",0.289166666666667,0.205,0.30788472101307,1,0.148333333333333,0.548333333333333,0.823333333333333,0.403333333333333,0.211666666666667,0.1975,0.413333333333333,0.575833333333333,0.389166666666667,0.315,0.0833333333333334,0.409166666666667,0.198333333333333,0.636666666666667,0.0941666666666667,0.285833333333333,0.603333333333333,0.645,0.154166666666667,0.388603683522307
"NC-DBA",0.289166666666667,0.205,0.30788472101307,1,0.148333333333333,0.548333333333333,0.823333333333333,0.403333333333333,0.211666666666667,0.1975,0.413333333333333,0.575833333333333,0.389166666666667,0.315,0.0833333333333334,0.409166666666667,0.198333333333333,0.636666666666667,0.0941666666666667,0.285833333333333,0.603333333333333,0.645,0.154166666666667,0.388603683522307
"MaxDepth-MBD",0.340833333333333,0.3075,0.210363810094012,0.791666666666667,0.065,0.720833333333333,0.916666666666667,0.370833333333333,0.409166666666667,0.2925,0.365833333333333,0.378333333333333,0.229166666666667,0.354166666666667,0.358333333333333,0.370833333333333,0.369166666666667,0.561666666666667,0.551666666666667,0.563333333333333,-0.00833333333333328,0.00833333333333333,0.384166666666667,0.387479585946116
"MaxDepth-MBD (w)",0.229166666666667,0.235,0.115006742702021,0.846666666666667,0.085,0.72,0.986666666666667,0.139166666666667,0.401666666666667,0.0758333333333334,0.271666666666667,0.1625,0.26,0.165833333333333,0.383333333333333,0.186666666666667,0.4175,0.554166666666667,0.546666666666667,0.561666666666667,0.00333333333333332,-0.00666666666666664,0.384166666666667,0.335869858378349
"MaxDepth-MFHD",0,0,0.116542613772126,0.581666666666667,-0.00583333333333336,0.489166666666667,0,0,0,0,0,0,0,0.221666666666667,0.235,0.0683333333333334,0.0600000000000001,0,0.284166666666667,0.316666666666667,0,0.173333333333333,0.195,0.118943881758208
